sensor_id,error_log,timestamp
sensor-612,Data corruption,2024-10-18 15:43:03.464042
sensor-634,Connection lost,2024-10-17 20:17:03.464236
sensor-355,Pressure anomaly,2024-10-19 19:04:03.464275
sensor-791,Power supply failure,2024-10-22 16:27:03.464318
sensor-656,Sensor malfunction,2024-10-21 15:57:03.464344
sensor-793,Sensor malfunction,2024-10-22 06:56:03.464368
sensor-546,Connection lost,2024-10-22 22:22:03.464402
sensor-472,Pressure anomaly,2024-10-16 14:28:03.464430
sensor-743,Calibration needed,2024-10-17 08:21:03.464461
sensor-757,Data corruption,2024-10-20 23:08:03.464495
sensor-734,High humidity warning,2024-10-19 08:09:03.464541
sensor-643,Sensor malfunction,2024-10-20 00:43:03.464576
sensor-388,High humidity warning,2024-10-18 07:44:03.464601
sensor-725,Data corruption,2024-10-16 09:09:03.464622
sensor-664,Sensor malfunction,2024-10-17 22:26:03.464643
sensor-135,Power supply failure,2024-10-20 21:52:03.464665
sensor-036,Pressure anomaly,2024-10-17 13:00:03.464685
sensor-207,Pressure anomaly,2024-10-17 21:19:03.464707
sensor-234,Data corruption,2024-10-16 12:07:03.464727
sensor-141,Connection lost,2024-10-21 19:56:03.464748
sensor-835,Overheating detected,2024-10-20 03:29:03.464769
sensor-960,Sensor malfunction,2024-10-19 19:06:03.464795
sensor-290,Low battery,2024-10-22 12:28:03.464823
sensor-675,Overheating detected,2024-10-16 18:04:03.464844
sensor-548,Data corruption,2024-10-17 05:47:03.464864
sensor-598,Sensor malfunction,2024-10-17 11:41:03.464899
sensor-972,Connection lost,2024-10-17 10:02:03.464936
sensor-819,Overheating detected,2024-10-22 21:39:03.464971
sensor-476,Overheating detected,2024-10-19 05:21:03.465007
sensor-776,High humidity warning,2024-10-21 18:22:03.465043
sensor-895,Data corruption,2024-10-17 09:01:03.465078
sensor-540,Overheating detected,2024-10-22 19:59:03.465113
sensor-914,Low battery,2024-10-17 13:04:03.465150
sensor-757,High humidity warning,2024-10-16 17:52:03.465187
sensor-705,Power supply failure,2024-10-17 11:46:03.465223
sensor-036,Pressure anomaly,2024-10-21 18:04:03.465258
sensor-939,Sensor malfunction,2024-10-23 03:23:03.465292
sensor-145,Sensor malfunction,2024-10-18 06:22:03.465329
sensor-821,Low battery,2024-10-19 23:34:03.465364
sensor-417,High humidity warning,2024-10-18 10:12:03.465401
sensor-644,Low battery,2024-10-19 01:07:03.465437
sensor-585,Low battery,2024-10-18 12:56:03.465475
sensor-082,Data corruption,2024-10-21 06:01:03.465512
sensor-378,Calibration needed,2024-10-17 01:24:03.465549
sensor-139,Data corruption,2024-10-17 01:16:03.465884
sensor-062,Low battery,2024-10-21 00:51:03.466011
sensor-254,Data corruption,2024-10-17 11:02:03.466060
sensor-179,Pressure anomaly,2024-10-16 19:35:03.466090
sensor-629,Connection lost,2024-10-19 07:16:03.466125
sensor-234,Pressure anomaly,2024-10-20 20:37:03.466154
sensor-958,Overheating detected,2024-10-18 21:56:03.466190
sensor-453,Sensor malfunction,2024-10-22 16:13:03.466212
sensor-329,High humidity warning,2024-10-22 16:00:03.466234
sensor-900,High humidity warning,2024-10-20 16:48:03.466255
sensor-624,Sensor malfunction,2024-10-19 11:17:03.466286
sensor-052,Calibration needed,2024-10-19 10:20:03.466307
sensor-839,High humidity warning,2024-10-22 16:53:03.466328
sensor-102,Pressure anomaly,2024-10-20 12:01:03.466354
sensor-518,Calibration needed,2024-10-16 11:41:03.466376
sensor-640,High humidity warning,2024-10-18 00:00:03.466407
sensor-676,Connection lost,2024-10-18 21:53:03.466428
sensor-185,Calibration needed,2024-10-17 00:01:03.466448
sensor-002,Data corruption,2024-10-16 18:13:03.466661
sensor-653,Low battery,2024-10-21 14:10:03.466719
sensor-218,Power supply failure,2024-10-21 10:58:03.466743
sensor-737,Pressure anomaly,2024-10-21 21:29:03.466768
sensor-703,Overheating detected,2024-10-18 02:24:03.466790
sensor-744,Power supply failure,2024-10-16 23:01:03.466811
sensor-965,Power supply failure,2024-10-16 12:37:03.466832
sensor-403,Calibration needed,2024-10-20 11:55:03.466852
sensor-734,Calibration needed,2024-10-17 06:46:03.466873
sensor-353,Overheating detected,2024-10-17 16:00:03.466914
sensor-095,Low battery,2024-10-20 03:05:03.466938
sensor-771,High humidity warning,2024-10-22 10:09:03.466967
sensor-326,Power supply failure,2024-10-18 11:58:03.467001
sensor-941,Data corruption,2024-10-22 00:42:03.467025
sensor-310,Sensor malfunction,2024-10-21 11:30:03.467046
sensor-294,High humidity warning,2024-10-16 13:28:03.467090
sensor-980,Calibration needed,2024-10-17 10:22:03.467121
sensor-703,High humidity warning,2024-10-18 00:38:03.467152
sensor-826,Power supply failure,2024-10-20 12:19:03.467175
sensor-247,Connection lost,2024-10-16 23:18:03.467210
sensor-325,Sensor malfunction,2024-10-19 04:22:03.467239
sensor-695,Power supply failure,2024-10-22 05:42:03.467261
sensor-668,Sensor malfunction,2024-10-21 12:18:03.467284
sensor-602,Sensor malfunction,2024-10-18 20:02:03.467305
sensor-184,Low battery,2024-10-19 21:10:03.467326
sensor-483,Overheating detected,2024-10-17 15:55:03.467347
sensor-040,Sensor malfunction,2024-10-22 04:15:03.467369
sensor-704,Overheating detected,2024-10-21 16:28:03.467390
sensor-212,Calibration needed,2024-10-22 14:43:03.467412
sensor-050,Sensor malfunction,2024-10-17 10:55:03.467432
sensor-540,Sensor malfunction,2024-10-19 08:00:03.467453
sensor-790,Power supply failure,2024-10-21 00:38:03.467474
